CustomerID,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
7423388,394.0,nan,fem,57.0,10.0,164428.23176771944,,0,true,194976.29359466847,0
7550634,682.0,France,M,77.0,,54861.094722024885,4.0,2,-1,126880.48660861868,0
5304572,580.0,nan,M,49.0,0.0,178675.21763249338,1.0,1,-1,172908.9974748583,0
3234489,620.0,nan,fem,89.0,4.0,19974.40297368841,3.0,2,true,38803.020298299336,1
8204212,694.0,FR,fem,45.0,10.0,143355.66982111777,,no,false,124170.05950929558,0
5472471,576.0,Spain,nan,71.0,5.0,120399.89572526742,1.0,2,0,65377.927799496756,0
5523669,827.0,UK,Female,48.0,9.0,81703.65059515764,1.0,0,false,33104.91850937925,0
8404852,561.0,UK,male,27.0,6.0,234766.77874510025,,no,false,111226.17823784066,0
5981505,878.0,Spain,nan,68.0,9.0,151317.86116882207,2.0,2,-1,64603.86746032244,0
2766891,591.0,Germany,fem###,52.0,9.0,17245.72878616079,,2,-1,67022.61202453484,1
5521373,592.0,Germany,M,47.0,6.0,139243.66710433905,,0,-1,97618.54931385454,1
7019877,693.0,ger,M,30.0,2.0,55195.595120584614,,0,true,166865.20333278898,0
4344769,811.0,FR,F,79.0,6.0,33505.194907511446,4.0,2,true,10172.949942040532,0
1103355,478.0,Germany,male,68.0,0.0,209624.24258223368,2.0,1,1,92056.46878398415,0
2262752,533.0,Germany,male,70.0,10.0,5235.255443826442,3.0,no,-1,152229.11401179823,1
6664789,635.0,FR,M,66.0,3.0,236395.72434000156,1.0,2,true,118061.49683548787,0
6743066,306.0,Spain,male,70.0,6.0,28136.65157010492,4.0,0,1,20708.214377502365,1
7113790,741.0,ger,F,89.0,6.0,152853.95105347325,2.0,no,nan,133965.90074595105,0
5721339,837.0,ger,Female,51.0,3.0,133316.50589809543,,0,-1,92056.46878398415,1
4275709,389.0,ger,M,46.0,0.0,124916.31854360072,4.0,no,-1,153678.75853992638,0
1084654,570.0,Germany,Male,71.0,7.0,88493.47451118461,4.0,2,0,44100.38123477369,1
6147581,303.0,Spain,M,,3.0,5235.255443826442,1.0,nan,true,92373.03520339767,1
2954354,892.0,ger,M###,31.0,1.0,97345.70146296544,3.0,nan,1,105725.63442395754,0
9242680,517.0,FR,Female,41.0,3.0,149396.10754882445,2.0,yes,-1,176826.96243130474,1
3428388,416.0,ger,fem,36.0,7.0,48471.265810732664,2.0,nan,true,69705.96897834158,1
9916786,891.0,UK,fem,87.0,7.0,194041.5540786138,2.0,yes,1,124408.65257330671,0
3663046,880.0,France,Male,32.0,4.0,52535.20756920274,,no,0,42919.5210185131,0
6499720,413.0,Spain,Male,68.0,1.0,102016.36312618174,,0,1,141833.77043272354,0
7640913,561.0,France,Male,81.0,6.0,140479.3136476418,4.0,0,-1,27332.20171048132,0
4416664,604.0,Spain,fem,86.0,2.0,204352.83720041066,3.0,0,false,111226.17823784066,0
4385659,720.0,nan,nan,,5.0,100707.26236181201,1.0,2,false,31332.886149733407,0
4385357,505.0,FR,Female,32.0,8.0,232301.24622358006,1.0,no,0,17890.053616730904,0
2465689,601.0,nan,male,43.0,4.0,87413.85636322168,3.0,2,nan,11668.063470012368,1
1068148,410.0,Germany,Male,34.0,8.0,32206.198593229125,2.0,yes,-1,72544.0342478425,0
2825665,715.0,Germany,male,60.0,3.0,14789.069161155938,3.0,yes,-1,191901.5464765939,0
3745683,853.0,nan,F,66.0,8.0,32569.102164708485,1.0,0,true,194625.6592456111,0
5056518,583.0,Spain,Female,90.0,0.0,122402.9411506623,,0,false,197510.5575235042,0
3669995,483.0,ger,male,30.0,3.0,197125.12392410496,3.0,no,true,17390.877466082387,0
5997895,519.0,France,fem,68.0,10.0,115956.48329816482,4.0,yes,-1,135763.32440152348,0
7397986,742.0,FR,nan,66.0,0.0,86592.36377530819,,no,0,35559.31094073953,0
2870928,415.0,ger,fem,33.0,,97551.58491314686,4.0,yes,nan,162865.8227015699,1
5155299,368.0,Germany,Male###,19.0,8.0,197483.6130734454,4.0,1,false,192009.94494665082,0
7249859,368.0,ger,nan,78.0,7.0,234666.69766513238,3.0,no,true,92056.46878398415,0
3305413,725.0,nan,Male,37.0,7.0,216566.8644188239,4.0,1,0,168453.69302255087,0
4910197,866.0,nan,nan,49.0,6.0,95341.8001995448,2.0,2,-1,175360.11098443237,0
6558019,741.0,UK,male,,8.0,101290.31504444205,3.0,yes,1,75530.64227906728,0
6414709,899.0,UK###,fem,86.0,10.0,29530.033283043933,1.0,1,1,190136.30651166575,1
1271836,435.0,France,male,72.0,10.0,1467.8337209913793,2.0,2,false,48254.443978305695,0
4584702,802.0,Germany,F,20.0,2.0,241321.0369888052,,no,nan,131613.70170615817,0
8281369,429.0,Spain,Female,38.0,6.0,120416.45585319663,3.0,1,nan,173716.53719589164,1
3299435,516.0,FR,fem,74.0,5.0,225543.52994885037,1.0,1,0,179976.03236316185,0
9585377,469.0,nan,M###,60.0,4.0,23974.308469895124,1.0,2,true,137385.55266518448,0
3658505,773.0,FR,fem,73.0,8.0,29530.033283043933,3.0,1,0,173716.53719589164,0
2271741,427.0,Germany,F,56.0,3.0,227448.07263622765,2.0,2,false,179451.88399786575,1
4769315,355.0,Spain,fem,72.0,2.0,68221.6520841942,1.0,nan,-1,32455.33471063236,0
2046797,479.0,UK,F,79.0,10.0,32978.66732928914,3.0,yes,nan,138429.3820460428,1
4047262,544.0,nan,fem,55.0,2.0,227448.07263622765,3.0,yes,0,118028.946309203,0
1564685,442.0,France,F,23.0,1.0,19154.145803983974,4.0,yes,false,175255.55537954578,0
3879190,349.0,FR,nan,30.0,0.0,32978.66732928914,3.0,1,false,89194.0734351861,0
6596411,666.0,Germany,Male,34.0,2.0,95996.40984473964,1.0,1,true,95740.25558679797,0
2007293,757.0,FR,male,71.0,7.0,173256.93620755637,4.0,0,-1,92079.95772436153,0
5774183,516.0,UK,fem###,72.0,,215995.4633260639,1.0,0,0,109731.0231495966,0
4366612,865.0,UK,Female###,73.0,5.0,101370.4742947781,2.0,2,false,65141.63361843286,0
9411855,555.0,Spain,Male,74.0,1.0,54791.08711505093,2.0,1,-1,181363.0891814627,0
6267180,454.0,France,F,41.0,7.0,13791.587279740641,1.0,2,true,113670.89867523132,0
8807313,863.0,UK,Female,86.0,4.0,156002.7989130942,,no,false,62281.842180163,0
3704238,740.0,Spain,Male,19.0,,17193.04308097433,,1,true,72040.64894769725,0
3630708,323.0,UK,M,37.0,3.0,214585.06087960562,,nan,-1,190136.30651166575,0
4494679,834.0,nan,fem,48.0,0.0,145551.96710673912,1.0,no,true,61734.93714998508,0
6517209,358.0,ger,fem,18.0,,222097.93328099744,3.0,1,0,70815.68958455755,0
2767640,765.0,Spain,F,36.0,0.0,7033.85312060395,4.0,yes,true,43358.16043385015,0
7723771,732.0,Spain,Male,34.0,3.0,50619.96084738699,3.0,2,1,197083.08901895044,1
2285160,364.0,FR,Male,70.0,,94395.80020450783,1.0,nan,1,199738.20769572773,1
7080526,863.0,UK,F,52.0,8.0,75017.262664934,3.0,0,1,45638.16725089681,0
6173036,404.0,Spain,M,77.0,9.0,213606.3907332649,2.0,yes,1,161742.3656295171,0
2425472,394.0,Germany,fem,76.0,9.0,113842.36963416095,4.0,nan,0,72474.85484445826,0
1048984,849.0,nan,male,52.0,5.0,32186.42231766092,1.0,0,false,72025.97576602496,0
7556168,466.0,FR,M,60.0,0.0,111205.30495054346,4.0,1,1,72563.73220317275,0
2504384,340.0,FR,F,84.0,,25488.556248298933,,no,nan,43845.953585993266,0
3230919,402.0,ger,male,82.0,7.0,82762.95358751282,,no,1,41026.209981177046,0
