Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Female,No,1,Not Graduate,No,13547,7753,471,84,0,Rural,N
Female,No,1,Graduate,Yes,6281,5012,352,240,0,Rural,N
Female,Yes,1,Not Graduate,No,5865,10338,439,240,0,Semiurban,N
Male,Yes,3,Graduate,No,24709,7875,150,240,0,Semiurban,Y
Male,No,3,Graduate,Yes,9343,13956,181,360,0,Urban,Y
Male,No,1,Not Graduate,No,10481,14154,448,120,1,Rural,Y
Male,No,1,Graduate,Yes,24486,12518,113,84,1,Rural,Y
Male,Yes,0,Not Graduate,No,14399,13485,382,360,0,Semiurban,Y
Female,No,1,Not Graduate,Yes,5967,4406,119,120,1,Rural,N
Male,No,2,Not Graduate,No,18155,5585,433,240,0,Rural,N
Female,No,2,Not Graduate,No,14113,4836,268,360,0,Urban,N
Male,Yes,3,Graduate,No,15968,3113,486,84,0,Urban,N
Male,No,1,Graduate,No,13891,13220,238,360,1,Urban,Y
Female,Yes,2,Graduate,No,19356,9837,491,120,0,Urban,Y
Female,Yes,1,Graduate,No,23017,14224,202,180,1,Urban,Y
Male,Yes,0,Not Graduate,No,13756,12101,219,360,1,Semiurban,Y
Male,Yes,2,Graduate,Yes,10241,13856,476,300,1,Urban,Y
Male,Yes,0,Graduate,No,8541,816,462,240,0,Semiurban,N
Male,Yes,1,Graduate,No,13367,14527,74,240,1,Semiurban,Y
Female,No,1,Graduate,No,5327,5212,144,120,0,Urban,N
Male,No,3,Graduate,Yes,5473,4167,471,240,0,Semiurban,N
Male,Yes,1,Graduate,Yes,9642,2761,415,360,0,Semiurban,N
Female,No,1,Graduate,Yes,19888,9053,228,300,1,Semiurban,Y
Female,Yes,1,Not Graduate,Yes,19621,14131,449,120,1,Urban,Y
Female,No,3,Graduate,Yes,16212,8698,303,240,1,Rural,Y
Male,No,0,Graduate,Yes,7078,5543,184,84,1,Rural,Y
Male,Yes,1,Not Graduate,No,11713,8362,349,300,0,Rural,N
Male,Yes,3,Not Graduate,Yes,23355,3344,422,84,1,Semiurban,Y
Male,Yes,3,Graduate,Yes,24789,12345,111,84,1,Urban,Y
Female,Yes,0,Not Graduate,No,2042,12010,225,240,0,Semiurban,N
Male,No,3,Graduate,No,13410,3913,292,84,1,Rural,N
Male,Yes,3,Not Graduate,Yes,1545,11218,375,240,1,Rural,N
Female,Yes,3,Graduate,Yes,9607,5166,418,240,1,Urban,N
Male,Yes,1,Graduate,No,20210,11656,234,180,0,Semiurban,Y
Male,Yes,0,Graduate,Yes,20340,13453,259,300,0,Urban,Y
Female,Yes,3,Not Graduate,Yes,3440,13483,330,300,1,Rural,Y
Male,No,0,Graduate,Yes,17993,13015,79,120,0,Semiurban,Y
Male,No,1,Not Graduate,No,23987,8646,296,180,1,Urban,Y
Female,Yes,2,Not Graduate,Yes,18266,10097,428,84,0,Rural,N
Female,No,2,Not Graduate,No,1524,11027,89,300,1,Rural,Y
Male,Yes,0,Graduate,No,23271,3249,174,180,0,Rural,Y
Female,Yes,1,Not Graduate,Yes,23083,697,344,84,1,Semiurban,Y
Male,No,2,Not Graduate,Yes,21828,8718,452,360,1,Urban,Y
Female,Yes,3,Not Graduate,Yes,8199,12773,318,300,0,Semiurban,N
Male,No,2,Not Graduate,No,1834,12560,375,360,1,Urban,N
Male,No,1,Not Graduate,Yes,8528,11222,479,300,0,Rural,N
Female,No,2,Not Graduate,No,8451,3781,138,84,0,Urban,N
Male,Yes,0,Not Graduate,Yes,18930,5078,194,360,0,Urban,Y
Male,No,3,Graduate,Yes,14001,12869,472,360,0,Urban,N
Male,No,0,Not Graduate,No,16973,3721,235,180,1,Urban,Y
Female,No,0,Not Graduate,Yes,1748,11235,181,240,1,Semiurban,Y
Male,Yes,1,Not Graduate,Yes,2691,12493,324,240,0,Rural,N
Male,No,0,Graduate,Yes,19102,6328,416,360,1,Semiurban,Y
Female,Yes,1,Not Graduate,No,10434,516,277,180,1,Semiurban,N
Male,No,3,Graduate,Yes,14305,2927,414,300,0,Semiurban,N
Female,No,2,Not Graduate,Yes,11047,3184,426,360,0,Rural,N
Male,Yes,3,Graduate,Yes,23292,4423,471,240,1,Urban,Y
Male,Yes,1,Graduate,Yes,10388,5886,490,84,1,Rural,N
Male,Yes,1,Not Graduate,No,22841,439,119,84,0,Urban,N
Female,No,0,Graduate,Yes,24783,3987,464,300,1,Urban,Y
Male,Yes,3,Graduate,Yes,19223,9118,399,84,0,Rural,N
Male,Yes,1,Not Graduate,Yes,5266,1089,173,180,1,Urban,N
Male,No,0,Graduate,No,13060,10485,260,180,0,Urban,N
Male,No,3,Graduate,Yes,13518,2479,102,360,0,Rural,N
Male,Yes,1,Not Graduate,Yes,10408,6817,187,84,0,Urban,N
Male,Yes,0,Graduate,No,4978,12722,383,240,0,Urban,N
Female,Yes,2,Graduate,Yes,6668,11719,251,120,0,Semiurban,N
Male,No,1,Not Graduate,Yes,19894,1956,56,300,1,Rural,Y
Male,No,1,Graduate,Yes,5199,14049,496,240,0,Urban,N
Male,Yes,1,Graduate,No,6557,7297,84,120,0,Semiurban,N
Male,No,0,Not Graduate,Yes,24212,11928,213,180,0,Rural,Y
Female,Yes,1,Not Graduate,No,24870,2905,449,300,0,Urban,N
Male,Yes,2,Not Graduate,Yes,16627,7014,454,180,1,Semiurban,Y
Male,Yes,1,Not Graduate,Yes,7420,24,314,84,1,Rural,N
Female,No,2,Not Graduate,No,24758,4339,413,240,0,Rural,N
Male,No,0,Graduate,No,19794,9916,200,84,1,Rural,Y
Male,Yes,0,Not Graduate,Yes,23672,2219,395,360,0,Semiurban,N
Female,Yes,3,Not Graduate,Yes,1832,4741,115,300,0,Urban,N
Male,No,1,Graduate,Yes,19530,1882,160,240,1,Semiurban,Y
Male,Yes,3,Graduate,No,9575,1186,343,180,1,Rural,N
Male,Yes,1,Graduate,No,9931,781,490,84,0,Urban,N
Female,Yes,2,Not Graduate,No,23006,7299,237,180,0,Urban,Y
Male,Yes,2,Not Graduate,No,3665,14717,274,300,1,Semiurban,Y
Male,Yes,2,Graduate,No,18609,432,200,120,1,Semiurban,Y
Male,Yes,1,Not Graduate,No,10979,6360,297,300,1,Semiurban,Y
Female,No,1,Graduate,No,3809,14440,307,300,0,Urban,N
Female,Yes,0,Graduate,Yes,17115,6988,494,120,0,Urban,N
Male,Yes,0,Graduate,Yes,17792,3202,432,180,1,Rural,Y
Female,No,3,Graduate,No,22947,12812,265,180,0,Urban,Y
Male,No,3,Graduate,Yes,15712,9047,408,84,0,Semiurban,N
Male,Yes,3,Graduate,No,10394,242,260,360,1,Rural,N
Female,Yes,3,Not Graduate,Yes,15679,1376,174,360,0,Semiurban,N
